"movie_id","star_id"
901,911
921,911
910,919
929,919
693001,48002
872003,48003
764010,48004
764003,48006
492006,48007
788010,48007
412008,48010
48011,48011
48011,48012
764010,48014
764003,48015
872003,48016
135001,135003
135002,135005
135002,135006
156008,135007
135004,135008
135004,135009
135006,135012
135006,135013
135007,135015
135012,135022
135013,135023
135014,135024
140001,140002
140001,140003
140001,140004
140003,140010
140004,140011
140004,140012
683003,140012
140004,140013
140004,140014
683003,140014
755006,140014
683003,140016
683003,140017
140010,140020
156008,140020
490011,140020
140009,140022
140010,140024
150002,150002
150003,150003
150004,150004
150005,150005
150006,150006
150008,150008
150010,150010
156003,156005
156005,156009
156005,156010
156006,156011
156006,156012
156008,156016
156006,156023
764005,156023
217002,217022
217020,217022
217018,217025
217016,217028
217013,217031
217012,217032
140009,217033
217011,217033
217009,217035
217007,217037
217005,217040
217005,217042
326004,326103
326005,326103
326006,326105
217006,326111
490006,326111
135005,326112
135006,326112
872003,326112
872005,326112
634009,412005
693003,412005
755006,412005
412004,412017
412004,412018
217008,412019
412004,412019
872001,412019
412004,412020
693001,412026
693001,412027
907007,412029
907007,412030
217015,412031
907007,412031
907007,412032
422102,422402
422108,422404
259004,422405
422104,422405
422105,422405
326006,422406
422106,422406
490006,422406
422109,422409
422105,422410
928,490002
693001,490002
855003,490006
259005,490009
490011,490009
490008,490012
492002,492107
492003,492107
492009,492108
764010,492108
525001,525101
525002,525101
525003,525101
525004,525101
525005,525101
525007,525101
671020,525101
525006,525102
525008,525103
525009,525103
525010,525103
525011,525103
525012,525103
525013,525103
525014,525103
525017,525105
525018,525105
525019,525105
525020,525105
525001,525106
525002,525106
525003,525106
525004,525106
525005,525106
525006,525106
525007,525106
525008,525106
525009,525106
525010,525106
525011,525106
525013,525107
525014,525107
525015,525107
525016,525107
525017,525108
525018,525108
525019,525108
525020,525108
525001,525109
525002,525109
525003,525109
525004,525109
525005,525109
525006,525109
525007,525109
525008,525109
525009,525109
525010,525109
525011,525109
525012,525109
525013,525109
525014,525109
525015,525110
525016,525110
525017,525111
525018,525111
525019,525111
525020,525111
525002,525112
525003,525112
525004,525112
525005,525112
525006,525112
525007,525112
525009,525112
525010,525112
525011,525112
525012,525112
